"","N","n2","v1","es1","es2","power","pnexch","pnexch_cutoff","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power"
"1",200,0.5,NA,0.1,0.1,0.025,0.16275,NA,0.1962,0.0053,0.0053,0.0019
"2",400,0.5,NA,0.1,0.1,0.0294,0.12495,NA,0.1112,0.0052,0.0052,0.0014
"3",600,0.5,NA,0.1,0.1,0.0348,0.10785,NA,0.0907,0.0035,0.003,0.0015
"4",800,0.5,NA,0.1,0.1,0.0376,0.09748,NA,0.078,0.0039,0.0037,0.0017
"5",1000,0.5,NA,0.1,0.1,0.0373,0.08874,NA,0.0673,0.0035,0.0035,0.0018
"6",200,0.5,NA,0.1,0.2,0.4281,0.51729,NA,0.8032,0.2553,0.2549,0.165
"7",400,0.5,NA,0.1,0.2,0.7635,0.70685,NA,0.9122,0.5229,0.5229,0.416
"8",600,0.5,NA,0.1,0.2,0.919,0.84191,NA,0.9705,0.7342,0.7305,0.6366
"9",800,0.5,NA,0.1,0.2,0.9745,0.91791,NA,0.9906,0.8651,0.8651,0.7961
"10",1000,0.5,NA,0.1,0.2,0.9934,0.96179,NA,0.9979,0.9407,0.9397,0.9034
"11",200,0.5,NA,0.1,0.3,0.9287,0.90561,NA,0.9925,0.8423,0.8369,0.7495
"12",400,0.5,NA,0.1,0.3,0.9989,0.99268,NA,0.9999,0.9908,0.9908,0.9821
"13",600,0.5,NA,0.1,0.3,1,0.99964,NA,1,0.9998,0.9998,0.9991
"14",800,0.5,NA,0.1,0.3,1,0.99999,NA,1,1,1,1
"15",1000,0.5,NA,0.1,0.3,1,1,NA,1,1,1,1
"16",200,0.5,NA,0.1,0.4,0.9983,0.99424,NA,1,0.9928,0.992,0.9867
"17",400,0.5,NA,0.1,0.4,1,0.99999,NA,1,1,1,1
"18",600,0.5,NA,0.1,0.4,1,1,NA,1,1,1,1
"19",800,0.5,NA,0.1,0.4,1,1,NA,1,1,1,1
"20",1000,0.5,NA,0.1,0.4,1,1,NA,1,1,1,1
"21",200,0.5,NA,0.1,0.5,0.9999,0.99989,NA,1,0.9999,0.9999,0.9999
"22",400,0.5,NA,0.1,0.5,1,1,NA,1,1,1,1
"23",600,0.5,NA,0.1,0.5,1,1,NA,1,1,1,1
"24",800,0.5,NA,0.1,0.5,1,1,NA,1,1,1,1
"25",1000,0.5,NA,0.1,0.5,1,1,NA,1,1,1,1
"26",200,0.5,NA,0.1,0.6,1,1,NA,1,1,1,1
"27",400,0.5,NA,0.1,0.6,1,1,NA,1,1,1,1
"28",600,0.5,NA,0.1,0.6,1,1,NA,1,1,1,1
"29",800,0.5,NA,0.1,0.6,1,1,NA,1,1,1,1
"30",1000,0.5,NA,0.1,0.6,1,1,NA,1,1,1,1
"31",200,0.5,NA,0.1,0.7,1,1,NA,1,1,1,1
"32",400,0.5,NA,0.1,0.7,1,1,NA,1,1,1,1
"33",600,0.5,NA,0.1,0.7,1,1,NA,1,1,1,1
"34",800,0.5,NA,0.1,0.7,1,1,NA,1,1,1,1
"35",1000,0.5,NA,0.1,0.7,1,1,NA,1,1,1,1
"36",200,0.5,NA,0.1,0.8,1,1,NA,1,1,1,1
"37",400,0.5,NA,0.1,0.8,1,1,NA,1,1,1,1
"38",600,0.5,NA,0.1,0.8,1,1,NA,1,1,1,1
"39",800,0.5,NA,0.1,0.8,1,1,NA,1,1,1,1
"40",1000,0.5,NA,0.1,0.8,1,1,NA,1,1,1,1
"41",200,0.5,NA,0.1,0.9,1,1,NA,1,1,1,1
"42",400,0.5,NA,0.1,0.9,1,1,NA,1,1,1,1
"43",600,0.5,NA,0.1,0.9,1,1,NA,1,1,1,1
"44",800,0.5,NA,0.1,0.9,1,1,NA,1,1,1,1
"45",1000,0.5,NA,0.1,0.9,1,1,NA,1,1,1,1
