"","pc","pt","totsampsize","plt05","pnexchgt090","pnexchgt080","pnexchgt0798","pnexchgt020"
"1",0.1,0.1,200,0.065,0.002,0.004,0.005,0.13
"2",0.1,0.1,300,0.048,0.003,0.006,0.006,0.078
"3",0.1,0.1,400,0.053,0,0.002,0.002,0.076
"4",0.1,0.1,500,0.068,0.001,0.008,0.008,0.079
"5",0.1,0.1,600,0.041,0.001,0.003,0.003,0.054
"6",0.1,0.1,700,0.044,0,0.001,0.001,0.044
"7",0.1,0.1,800,0.045,0.001,0.003,0.003,0.043
"8",0.1,0.1,900,0.052,0.001,0.004,0.004,0.047
"9",0.1,0.1,1000,0.059,0,0,0,0.051
"10",0.1,0.2,200,0.483,0.15,0.212,0.216,0.648
"11",0.1,0.2,300,0.719,0.244,0.33,0.33,0.775
"12",0.1,0.2,400,0.818,0.373,0.472,0.473,0.865
"13",0.1,0.2,500,0.892,0.445,0.55,0.551,0.911
"14",0.1,0.2,600,0.927,0.579,0.673,0.673,0.934
"15",0.1,0.2,700,0.97,0.668,0.781,0.781,0.971
"16",0.1,0.2,800,0.976,0.774,0.837,0.843,0.976
"17",0.1,0.2,900,0.985,0.839,0.886,0.887,0.985
"18",0.1,0.2,1000,0.991,0.866,0.915,0.915,0.989
"19",0.1,0.3,200,0.948,0.677,0.758,0.758,0.979
"20",0.1,0.3,300,0.99,0.896,0.943,0.944,0.994
"21",0.1,0.3,400,1,0.98,0.988,0.988,1
"22",0.1,0.3,500,1,0.992,0.996,0.996,1
"23",0.1,0.3,600,1,0.999,0.999,0.999,1
"24",0.1,0.3,700,1,1,1,1,1
"25",0.1,0.3,800,1,1,1,1,1
"26",0.1,0.3,900,1,1,1,1,1
"27",0.1,0.3,1000,1,1,1,1,1
"28",0.1,0.4,200,0.999,0.975,0.987,0.987,1
"29",0.1,0.4,300,1,0.999,0.999,0.999,1
"30",0.1,0.4,400,1,1,1,1,1
"31",0.1,0.4,500,1,1,1,1,1
"32",0.1,0.4,600,1,1,1,1,1
"33",0.1,0.4,700,1,1,1,1,1
"34",0.1,0.4,800,1,1,1,1,1
"35",0.1,0.4,900,1,1,1,1,1
"36",0.1,0.4,1000,1,1,1,1,1
"37",0.1,0.5,200,1,1,1,1,1
"38",0.1,0.5,300,1,1,1,1,1
"39",0.1,0.5,400,1,1,1,1,1
"40",0.1,0.5,500,1,1,1,1,1
"41",0.1,0.5,600,1,1,1,1,1
"42",0.1,0.5,700,1,1,1,1,1
"43",0.1,0.5,800,1,1,1,1,1
"44",0.1,0.5,900,1,1,1,1,1
"45",0.1,0.5,1000,1,1,1,1,1
