"","N","n2","v1","es1","es2","power","pexch","pnexch","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","pnexch_power"
"1",200,0.1,10,1,1,0.053,NA,0.73612,1,0.2315,0.2268,0.0862,NA
"2",400,0.1,10,1,1,0.0508,NA,0.66592,1,0.1427,0.1397,0.0552,0.90745
"3",600,0.1,10,1,1,0.0516,NA,0.6232,1,0.1146,0.1129,0.0424,0.88745
"4",800,0.1,10,1,1,0.0469,NA,0.5882,1,0.0872,0.085,0.0334,0.86208
"5",1000,0.1,10,1,1,0.0558,NA,0.56666,1,0.0876,0.0862,0.0334,0.86489
"6",200,0.25,10,1,1,0.0495,NA,0.66088,1,0.1356,0.1327,0.0506,0.90058
"7",400,0.25,10,1,1,0.0504,NA,0.58626,1,0.0894,0.087,0.0346,0.86475
"8",600,0.25,10,1,1,0.0533,NA,0.53994,1,0.0722,0.0714,0.0272,0.84233
"9",800,0.25,10,1,1,0.0494,NA,0.50441,1,0.0572,0.0559,0.0204,0.81407
"10",1000,0.25,10,1,1,0.0517,NA,0.47982,1,0.0523,0.0519,0.0196,0.80576
"11",200,0.1,10,1,1.5,0.1008,NA,0.76017,1,0.3237,0.3195,0.1486,0.66563
"12",400,0.1,10,1,1.5,0.161,NA,0.72829,1,0.3186,0.3148,0.1696,0.5949
"13",600,0.1,10,1,1.5,0.2194,NA,0.71701,1,0.3398,0.3357,0.1962,0.55352
"14",800,0.1,10,1,1.5,0.273,NA,0.71751,1,0.3692,0.3659,0.2197,0.52916
"15",1000,0.1,10,1,1.5,0.3286,NA,0.72636,1,0.4024,0.3994,0.2562,0.52124
"16",200,0.25,10,1,1.5,0.1594,NA,0.72351,1,0.3089,0.3049,0.1602,0.58727
"17",400,0.25,10,1,1.5,0.2781,NA,0.71792,1,0.3746,0.3708,0.2268,0.52375
"18",600,0.25,10,1,1.5,0.3803,NA,0.73535,1,0.4376,0.4346,0.2835,0.51829
"19",800,0.25,10,1,1.5,0.4759,NA,0.75906,1,0.5031,0.5004,0.3541,0.53417
"20",1000,0.25,10,1,1.5,0.5721,NA,0.79001,1,0.5742,0.5714,0.4277,0.58378
"21",200,0.1,10,1,2,0.2727,NA,0.82494,1,0.5587,0.5532,0.3471,0.69705
"22",400,0.1,10,1,2,0.4655,NA,0.84737,1,0.6623,0.6583,0.4758,0.70092
"23",600,0.1,10,1,2,0.6484,NA,0.88493,1,0.7734,0.7716,0.6106,0.7737
"24",800,0.1,10,1,2,0.7627,NA,0.91073,1,0.8353,0.8321,0.7074,0.83163
"25",1000,0.1,10,1,2,0.8522,NA,0.93576,1,0.893,0.8913,0.7978,0.89803
"26",200,0.25,10,1,2,0.4914,NA,0.85104,1,0.6714,0.6681,0.4937,0.70509
"27",400,0.25,10,1,2,0.7809,NA,0.91705,1,0.8497,0.8475,0.7283,0.8488
"28",600,0.25,10,1,2,0.9155,NA,0.95705,1,0.935,0.9334,0.8688,0.94513
"29",800,0.25,10,1,2,0.9729,NA,0.98034,1,0.976,0.9755,0.9434,0.98452
"30",1000,0.25,10,1,2,0.9905,NA,0.99104,1,0.9904,0.9903,0.9768,0.99647
"31",200,0.1,10,1,2.5,0.5094,NA,0.89334,1,0.7858,0.7824,0.5905,0.78682
"32",400,0.1,10,1,2.5,0.8082,NA,0.94498,1,0.9144,0.9122,0.8124,0.90701
"33",600,0.1,10,1,2.5,0.941,NA,0.97556,1,0.9737,0.9732,0.9264,0.97319
"34",800,0.1,10,1,2.5,0.9801,NA,0.98851,1,0.9897,0.9896,0.9703,0.99295
"35",1000,0.1,10,1,2.5,0.9942,NA,0.99495,1,0.9967,0.9967,0.9874,0.99855
"36",200,0.25,10,1,2.5,0.8211,NA,0.94771,1,0.9172,0.9153,0.8245,0.91498
"37",400,0.25,10,1,2.5,0.9835,NA,0.99034,1,0.992,0.9917,0.9751,0.99489
"38",600,0.25,10,1,2.5,0.9994,NA,0.99856,1,0.9996,0.9996,0.9984,0.99979
"39",800,0.25,10,1,2.5,0.9998,NA,0.99975,1,0.9999,0.9999,0.9996,0.99999
"40",1000,0.25,10,1,2.5,1,NA,0.99994,1,1,1,0.9998,1
"41",200,0.1,10,1,3,0.7676,NA,0.95016,1,0.9319,0.9299,0.8249,0.91391
"42",400,0.1,10,1,3,0.9633,NA,0.98693,1,0.9898,0.9895,0.9634,0.98986
"43",600,0.1,10,1,3,0.9971,NA,0.99723,1,0.9987,0.9986,0.9955,0.99923
"44",800,0.1,10,1,3,0.9995,NA,0.99943,1,0.9999,0.9999,0.9994,0.99996
"45",1000,0.1,10,1,3,1,NA,0.99991,1,1,1,1,1
"46",200,0.25,10,1,3,0.9726,NA,0.98911,1,0.9923,0.992,0.9733,0.99165
"47",400,0.25,10,1,3,1,NA,0.9996,1,1,1,0.9998,0.99997
"48",600,0.25,10,1,3,1,NA,0.99998,1,1,1,1,1
"49",800,0.25,10,1,3,1,NA,1,1,1,1,1,1
"50",1000,0.25,10,1,3,1,NA,1,1,1,1,1,1
"51",200,0.1,10,1,3.5,0.9125,NA,0.97961,1,0.9817,0.9811,0.9399,0.97714
"52",400,0.1,10,1,3.5,0.9974,NA,0.99812,1,0.9996,0.9996,0.9967,0.99958
"53",600,0.1,10,1,3.5,0.9998,NA,0.99985,1,1,1,1,0.99999
"54",800,0.1,10,1,3.5,1,NA,0.99999,1,1,1,1,1
"55",1000,0.1,10,1,3.5,1,NA,1,1,1,1,1,1
"56",200,0.25,10,1,3.5,0.9978,NA,0.99853,1,0.9997,0.9997,0.9977,0.99969
"57",400,0.25,10,1,3.5,1,NA,1,1,1,1,1,1
"58",600,0.25,10,1,3.5,1,NA,1,1,1,1,1,1
"59",800,0.25,10,1,3.5,1,NA,1,1,1,1,1,1
"60",1000,0.25,10,1,3.5,1,NA,1,1,1,1,1,1
"61",200,0.1,10,1,4,0.978,NA,0.99341,1,0.9977,0.9974,0.986,0.99606
"62",400,0.1,10,1,4,0.9999,NA,0.99981,1,1,1,1,0.99999
"63",600,0.1,10,1,4,1,NA,1,1,1,1,1,1
"64",800,0.1,10,1,4,1,NA,1,1,1,1,1,1
"65",1000,0.1,10,1,4,1,NA,1,1,1,1,1,1
"66",200,0.25,10,1,4,1,NA,0.99986,1,1,1,1,1
"67",400,0.25,10,1,4,1,NA,1,1,1,1,1,1
"68",600,0.25,10,1,4,1,NA,1,1,1,1,1,1
"69",800,0.25,10,1,4,1,NA,1,1,1,1,1,1
"70",1000,0.25,10,1,4,1,NA,1,1,1,1,1,1
"71",200,0.1,10,1,4.5,0.9973,NA,0.99841,1,0.9997,0.9997,0.9984,0.99959
"72",400,0.1,10,1,4.5,1,NA,0.99999,1,1,1,1,1
"73",600,0.1,10,1,4.5,1,NA,1,1,1,1,1,1
"74",800,0.1,10,1,4.5,1,NA,1,1,1,1,1,1
"75",1000,0.1,10,1,4.5,1,NA,1,1,1,1,1,1
"76",200,0.25,10,1,4.5,1,NA,0.99999,1,1,1,1,1
"77",400,0.25,10,1,4.5,1,NA,1,1,1,1,1,1
"78",600,0.25,10,1,4.5,1,NA,1,1,1,1,1,1
"79",800,0.25,10,1,4.5,1,NA,1,1,1,1,1,1
"80",1000,0.25,10,1,4.5,1,NA,1,1,1,1,1,1
"81",200,0.1,10,1,5,0.9996,NA,0.99965,1,1,1,0.9998,0.99997
"82",400,0.1,10,1,5,1,NA,1,1,1,1,1,1
"83",600,0.1,10,1,5,1,NA,1,1,1,1,1,1
"84",800,0.1,10,1,5,1,NA,1,1,1,1,1,1
"85",1000,0.1,10,1,5,1,NA,1,1,1,1,1,1
"86",200,0.25,10,1,5,1,NA,1,1,1,1,1,1
"87",400,0.25,10,1,5,1,NA,1,1,1,1,1,1
"88",600,0.25,10,1,5,1,NA,1,1,1,1,1,1
"89",800,0.25,10,1,5,1,NA,1,1,1,1,1,1
"90",1000,0.25,10,1,5,1,NA,1,1,1,1,1,1
