"","efdiff","var","totsampsize","n2mult","plt05","pnexchlt080","pnexchlt020"
"1",0,10,200,0.1,0.044,0.004,0.116
"2",0,10,200,0.25,0.051,0.005,0.119
"3",0,10,300,0.1,0.049,0.003,0.106
"4",0,10,300,0.25,0.059,0.003,0.104
"5",0,10,400,0.1,0.048,0.004,0.077
"6",0,10,400,0.25,0.053,0.001,0.083
"7",0,10,500,0.1,0.054,0.004,0.073
"8",0,10,500,0.25,0.047,0.004,0.072
"9",0,10,600,0.1,0.05,0.003,0.067
"10",0,10,600,0.25,0.045,0.002,0.056
"11",0,10,700,0.1,0.052,0.003,0.056
"12",0,10,700,0.25,0.058,0.006,0.06
"13",0,10,800,0.1,0.043,0.005,0.045
"14",0,10,800,0.25,0.048,0,0.051
"15",0,10,900,0.1,0.046,0,0.042
"16",0,10,900,0.25,0.05,0.003,0.049
"17",0,10,1000,0.1,0.039,0,0.034
"18",0,10,1000,0.25,0.046,0,0.039
"19",1,10,200,0.1,0.288,0.074,0.438
"20",1,10,200,0.25,0.5,0.199,0.652
"21",1,10,300,0.1,0.407,0.124,0.513
"22",1,10,300,0.25,0.68,0.318,0.776
"23",1,10,400,0.1,0.485,0.147,0.566
"24",1,10,400,0.25,0.776,0.415,0.832
"25",1,10,500,0.1,0.546,0.189,0.594
"26",1,10,500,0.25,0.87,0.521,0.888
"27",1,10,600,0.1,0.66,0.227,0.669
"28",1,10,600,0.25,0.906,0.597,0.91
"29",1,10,700,0.1,0.689,0.282,0.696
"30",1,10,700,0.25,0.945,0.686,0.945
"31",1,10,800,0.1,0.78,0.364,0.767
"32",1,10,800,0.25,0.966,0.778,0.967
"33",1,10,900,0.1,0.809,0.421,0.792
"34",1,10,900,0.25,0.987,0.847,0.986
"35",1,10,1000,0.1,0.855,0.435,0.84
"36",1,10,1000,0.25,0.994,0.897,0.991
"37",2,10,200,0.1,0.77,0.43,0.876
"38",2,10,200,0.25,0.967,0.844,0.989
"39",2,10,300,0.1,0.901,0.628,0.934
"40",2,10,300,0.25,0.998,0.964,0.999
"41",2,10,400,0.1,0.971,0.779,0.979
"42",2,10,400,0.25,1,0.993,1
"43",2,10,500,0.1,0.986,0.873,0.988
"44",2,10,500,0.25,1,0.998,1
"45",2,10,600,0.1,0.997,0.93,0.998
"46",2,10,600,0.25,1,0.999,1
"47",2,10,700,0.1,0.999,0.962,0.999
"48",2,10,700,0.25,1,1,1
"49",2,10,800,0.1,0.999,0.985,0.999
"50",2,10,800,0.25,1,1,1
"51",2,10,900,0.1,1,0.998,1
"52",2,10,900,0.25,1,1,1
"53",2,10,1000,0.1,1,0.999,1
"54",2,10,1000,0.25,1,1,1
"55",3,10,200,0.1,0.98,0.865,0.994
"56",3,10,200,0.25,1,1,1
"57",3,10,300,0.1,0.999,0.965,0.999
"58",3,10,300,0.25,1,1,1
"59",3,10,400,0.1,1,0.995,1
"60",3,10,400,0.25,1,1,1
"61",3,10,500,0.1,1,0.999,1
"62",3,10,500,0.25,1,1,1
"63",3,10,600,0.1,1,1,1
"64",3,10,600,0.25,1,1,1
"65",3,10,700,0.1,1,1,1
"66",3,10,700,0.25,1,1,1
"67",3,10,800,0.1,1,1,1
"68",3,10,800,0.25,1,1,1
"69",3,10,900,0.1,1,1,1
"70",3,10,900,0.25,1,1,1
"71",3,10,1000,0.1,1,1,1
"72",3,10,1000,0.25,1,1,1
"73",4,10,200,0.1,1,0.989,1
"74",4,10,200,0.25,1,1,1
"75",4,10,300,0.1,1,1,1
"76",4,10,300,0.25,1,1,1
"77",4,10,400,0.1,1,1,1
"78",4,10,400,0.25,1,1,1
"79",4,10,500,0.1,1,1,1
"80",4,10,500,0.25,1,1,1
"81",4,10,600,0.1,1,1,1
"82",4,10,600,0.25,1,1,1
"83",4,10,700,0.1,1,1,1
"84",4,10,700,0.25,1,1,1
"85",4,10,800,0.1,1,1,1
"86",4,10,800,0.25,1,1,1
"87",4,10,900,0.1,1,1,1
"88",4,10,900,0.25,1,1,1
"89",4,10,1000,0.1,1,1,1
"90",4,10,1000,0.25,1,1,1
