"","efdiff","var","totsampsize","plt05","pnexchlt080","pnexchlt020"
"1",0,1,200,0.053,0.007,0.128
"2",0,1,300,0.062,0.007,0.103
"3",0,1,400,0.049,0.001,0.066
"4",0,1,500,0.057,0.001,0.081
"5",0,1,600,0.04,0.005,0.043
"6",0,1,700,0.058,0.003,0.059
"7",0,1,800,0.052,0.003,0.05
"8",0,1,900,0.052,0,0.05
"9",0,1,1000,0.047,0.001,0.041
"10",0.1,1,200,0.119,0.021,0.225
"11",0.1,1,300,0.15,0.027,0.222
"12",0.1,1,400,0.184,0.021,0.236
"13",0.1,1,500,0.234,0.032,0.267
"14",0.1,1,600,0.237,0.03,0.259
"15",0.1,1,700,0.263,0.041,0.27
"16",0.1,1,800,0.298,0.049,0.293
"17",0.1,1,900,0.323,0.06,0.3
"18",0.1,1,1000,0.368,0.058,0.34
"19",0.2,1,200,0.305,0.085,0.444
"20",0.2,1,300,0.407,0.134,0.517
"21",0.2,1,400,0.5,0.188,0.584
"22",0.2,1,500,0.609,0.263,0.657
"23",0.2,1,600,0.676,0.288,0.693
"24",0.2,1,700,0.745,0.33,0.752
"25",0.2,1,800,0.788,0.403,0.787
"26",0.2,1,900,0.862,0.457,0.847
"27",0.2,1,1000,0.888,0.521,0.874
"28",0.3,1,200,0.553,0.251,0.696
"29",0.3,1,300,0.749,0.388,0.818
"30",0.3,1,400,0.847,0.51,0.885
"31",0.3,1,500,0.917,0.646,0.927
"32",0.3,1,600,0.96,0.727,0.967
"33",0.3,1,700,0.975,0.812,0.977
"34",0.3,1,800,0.988,0.865,0.988
"35",0.3,1,900,0.996,0.932,0.996
"36",0.3,1,1000,0.998,0.951,0.998
"37",0.4,1,200,0.798,0.499,0.9
"38",0.4,1,300,0.927,0.722,0.957
"39",0.4,1,400,0.978,0.85,0.989
"40",0.4,1,500,0.992,0.926,0.993
"41",0.4,1,600,0.996,0.975,0.997
"42",0.4,1,700,0.998,0.985,0.998
"43",0.4,1,800,1,0.995,1
"44",0.4,1,900,1,0.999,1
"45",0.4,1,1000,1,0.999,1
"46",0.5,1,200,0.941,0.758,0.969
"47",0.5,1,300,0.989,0.915,0.993
"48",0.5,1,400,0.999,0.981,1
"49",0.5,1,500,1,0.993,1
"50",0.5,1,600,0.999,0.998,0.999
"51",0.5,1,700,1,0.998,1
"52",0.5,1,800,1,1,1
"53",0.5,1,900,1,1,1
"54",0.5,1,1000,1,1,1
"55",0.6,1,200,0.986,0.921,0.996
"56",0.6,1,300,0.997,0.987,1
"57",0.6,1,400,1,0.999,1
"58",0.6,1,500,1,1,1
"59",0.6,1,600,1,0.999,1
"60",0.6,1,700,1,1,1
"61",0.6,1,800,1,1,1
"62",0.6,1,900,1,1,1
"63",0.6,1,1000,1,1,1
"64",0.7,1,200,0.998,0.983,0.999
"65",0.7,1,300,1,0.997,1
"66",0.7,1,400,1,1,1
"67",0.7,1,500,1,1,1
"68",0.7,1,600,1,1,1
"69",0.7,1,700,1,1,1
"70",0.7,1,800,1,1,1
"71",0.7,1,900,1,1,1
"72",0.7,1,1000,1,1,1
"73",0.8,1,200,1,0.998,1
"74",0.8,1,300,1,1,1
"75",0.8,1,400,1,1,1
"76",0.8,1,500,1,1,1
"77",0.8,1,600,1,1,1
"78",0.8,1,700,1,1,1
"79",0.8,1,800,1,1,1
"80",0.8,1,900,1,1,1
"81",0.8,1,1000,1,1,1
"82",0.9,1,200,1,1,1
"83",0.9,1,300,1,1,1
"84",0.9,1,400,1,1,1
"85",0.9,1,500,1,1,1
"86",0.9,1,600,1,1,1
"87",0.9,1,700,1,1,1
"88",0.9,1,800,1,1,1
"89",0.9,1,900,1,1,1
"90",0.9,1,1000,1,1,1
"91",1,1,200,1,1,1
"92",1,1,300,1,1,1
"93",1,1,400,1,1,1
"94",1,1,500,1,1,1
"95",1,1,600,1,1,1
"96",1,1,700,1,1,1
"97",1,1,800,1,1,1
"98",1,1,900,1,1,1
"99",1,1,1000,1,1,1
