"","pc1","pc2","pt1","pt2","totsampsize","plt05","pnexchgt090","pnexchgt080","pnexchgt0798","pnexchgt020"
"1",0.1,0.1,0.2,0.2,200,0.071,0.001,0.005,0.005,0.14
"2",0.1,0.1,0.2,0.2,300,0.05,0.004,0.005,0.005,0.082
"3",0.1,0.1,0.2,0.2,400,0.053,0,0.004,0.004,0.075
"4",0.1,0.1,0.2,0.2,500,0.056,0.001,0.005,0.005,0.07
"5",0.1,0.1,0.2,0.2,600,0.051,0.001,0.002,0.003,0.061
"6",0.1,0.1,0.2,0.2,700,0.054,0.001,0.001,0.001,0.056
"7",0.1,0.1,0.2,0.2,800,0.055,0,0.001,0.001,0.049
"8",0.1,0.1,0.2,0.2,900,0.044,0.001,0.004,0.004,0.04
"9",0.1,0.1,0.2,0.2,1000,0.046,0.001,0.004,0.004,0.042
"10",0.1,0.1,0.2,0.3,200,0.119,0.006,0.014,0.015,0.201
"11",0.1,0.1,0.2,0.3,300,0.133,0.006,0.018,0.018,0.192
"12",0.1,0.1,0.2,0.3,400,0.144,0.018,0.024,0.024,0.184
"13",0.1,0.1,0.2,0.3,500,0.169,0.011,0.022,0.024,0.198
"14",0.1,0.1,0.2,0.3,600,0.218,0.015,0.028,0.029,0.23
"15",0.1,0.1,0.2,0.3,700,0.217,0.013,0.032,0.033,0.224
"16",0.1,0.1,0.2,0.3,800,0.274,0.028,0.048,0.049,0.27
"17",0.1,0.1,0.2,0.3,900,0.305,0.025,0.042,0.042,0.285
"18",0.1,0.1,0.2,0.3,1000,0.312,0.034,0.05,0.05,0.295
"19",0.1,0.1,0.2,0.4,200,0.222,0.03,0.06,0.06,0.36
"20",0.1,0.1,0.2,0.4,300,0.322,0.046,0.077,0.078,0.401
"21",0.1,0.1,0.2,0.4,400,0.381,0.056,0.098,0.099,0.44
"22",0.1,0.1,0.2,0.4,500,0.47,0.092,0.143,0.143,0.505
"23",0.1,0.1,0.2,0.4,600,0.545,0.126,0.175,0.177,0.572
"24",0.1,0.1,0.2,0.4,700,0.593,0.145,0.215,0.218,0.604
"25",0.1,0.1,0.2,0.4,800,0.69,0.2,0.272,0.275,0.681
"26",0.1,0.1,0.2,0.4,900,0.749,0.218,0.318,0.32,0.731
"27",0.1,0.1,0.2,0.4,1000,0.76,0.258,0.339,0.341,0.737
"28",0.1,0.1,0.2,0.5,200,0.398,0.079,0.131,0.131,0.527
"29",0.1,0.1,0.2,0.5,300,0.54,0.136,0.211,0.214,0.632
"30",0.1,0.1,0.2,0.5,400,0.647,0.197,0.285,0.288,0.7
"31",0.1,0.1,0.2,0.5,500,0.748,0.276,0.366,0.369,0.783
"32",0.1,0.1,0.2,0.5,600,0.826,0.365,0.468,0.472,0.837
"33",0.1,0.1,0.2,0.5,700,0.884,0.44,0.537,0.539,0.886
"34",0.1,0.1,0.2,0.5,800,0.921,0.546,0.637,0.639,0.921
"35",0.1,0.1,0.2,0.5,900,0.954,0.626,0.717,0.719,0.947
"36",0.1,0.1,0.2,0.5,1000,0.964,0.657,0.741,0.741,0.962
"37",0.1,0.1,0.2,0.6,200,0.557,0.188,0.269,0.271,0.687
"38",0.1,0.1,0.2,0.6,300,0.73,0.315,0.412,0.417,0.806
"39",0.1,0.1,0.2,0.6,400,0.852,0.426,0.514,0.516,0.886
"40",0.1,0.1,0.2,0.6,500,0.919,0.552,0.656,0.658,0.934
"41",0.1,0.1,0.2,0.6,600,0.964,0.676,0.76,0.764,0.97
"42",0.1,0.1,0.2,0.6,700,0.985,0.78,0.854,0.855,0.986
"43",0.1,0.1,0.2,0.6,800,0.984,0.836,0.881,0.881,0.984
"44",0.1,0.1,0.2,0.6,900,0.997,0.902,0.947,0.947,0.997
"45",0.1,0.1,0.2,0.6,1000,0.999,0.921,0.945,0.946,0.999
"46",0.1,0.1,0.2,0.7,200,0.715,0.334,0.424,0.425,0.825
"47",0.1,0.1,0.2,0.7,300,0.871,0.531,0.627,0.629,0.915
"48",0.1,0.1,0.2,0.7,400,0.953,0.671,0.759,0.763,0.969
"49",0.1,0.1,0.2,0.7,500,0.982,0.809,0.868,0.869,0.987
"50",0.1,0.1,0.2,0.7,600,0.993,0.905,0.939,0.939,0.993
"51",0.1,0.1,0.2,0.7,700,0.996,0.953,0.977,0.977,0.996
"52",0.1,0.1,0.2,0.7,800,0.998,0.965,0.978,0.978,0.998
"53",0.1,0.1,0.2,0.7,900,0.999,0.992,0.996,0.996,0.999
"54",0.1,0.1,0.2,0.7,1000,1,0.998,0.999,0.999,1
