"","source1te","source2te","n2mult","totsampsize","plt05","pnexchgt080","pnexchgt020"
"1",1,1,0.1,200,0.089,0.008,0.164
"2",1,1,0.1,300,0.057,0.008,0.096
"3",1,1,0.1,400,0.058,0.004,0.083
"4",1,1,0.1,500,0.06,0.001,0.074
"5",1,1,0.1,600,0.065,0.002,0.076
"6",1,1,0.1,700,0.052,0,0.054
"7",1,1,0.1,800,0.053,0.001,0.052
"8",1,1,0.1,900,0.047,0.003,0.046
"9",1,1,0.1,1000,0.052,0.001,0.039
"10",1,1,0.25,200,0.056,0.002,0.123
"11",1,1,0.25,300,0.041,0.003,0.074
"12",1,1,0.25,400,0.049,0.005,0.073
"13",1,1,0.25,500,0.059,0.005,0.076
"14",1,1,0.25,600,0.056,0.004,0.063
"15",1,1,0.25,700,0.051,0.004,0.051
"16",1,1,0.25,800,0.052,0.002,0.051
"17",1,1,0.25,900,0.063,0.002,0.052
"18",1,1,0.25,1000,0.054,0.001,0.049
"19",1,2,0.1,200,0.199,0.029,0.321
"20",1,2,0.1,300,0.211,0.037,0.309
"21",1,2,0.1,400,0.248,0.053,0.314
"22",1,2,0.1,500,0.302,0.071,0.338
"23",1,2,0.1,600,0.343,0.067,0.362
"24",1,2,0.1,700,0.387,0.082,0.392
"25",1,2,0.1,800,0.416,0.089,0.407
"26",1,2,0.1,900,0.495,0.119,0.473
"27",1,2,0.1,1000,0.498,0.125,0.468
"28",1,2,0.25,200,0.27,0.074,0.42
"29",1,2,0.25,300,0.344,0.077,0.431
"30",1,2,0.25,400,0.437,0.125,0.496
"31",1,2,0.25,500,0.561,0.163,0.602
"32",1,2,0.25,600,0.612,0.21,0.631
"33",1,2,0.25,700,0.687,0.251,0.693
"34",1,2,0.25,800,0.732,0.307,0.728
"35",1,2,0.25,900,0.794,0.364,0.773
"36",1,2,0.25,1000,0.821,0.367,0.78
"37",1,3,0.1,200,0.391,0.064,0.569
"38",1,3,0.1,300,0.516,0.124,0.631
"39",1,3,0.1,400,0.6,0.189,0.675
"40",1,3,0.1,500,0.697,0.258,0.737
"41",1,3,0.1,600,0.756,0.345,0.774
"42",1,3,0.1,700,0.812,0.399,0.817
"43",1,3,0.1,800,0.868,0.449,0.861
"44",1,3,0.1,900,0.914,0.527,0.906
"45",1,3,0.1,1000,0.913,0.579,0.905
"46",1,3,0.25,200,0.645,0.281,0.775
"47",1,3,0.25,300,0.778,0.406,0.863
"48",1,3,0.25,400,0.899,0.564,0.925
"49",1,3,0.25,500,0.942,0.696,0.953
"50",1,3,0.25,600,0.974,0.784,0.975
"51",1,3,0.25,700,0.991,0.866,0.992
"52",1,3,0.25,800,0.994,0.913,0.993
"53",1,3,0.25,900,0.999,0.962,0.999
"54",1,3,0.25,1000,0.998,0.966,0.998
"55",1,4,0.1,200,0.488,0.084,0.704
"56",1,4,0.1,300,0.695,0.185,0.798
"57",1,4,0.1,400,0.803,0.339,0.845
"58",1,4,0.1,500,0.888,0.498,0.909
"59",1,4,0.1,600,0.922,0.595,0.927
"60",1,4,0.1,700,0.96,0.692,0.964
"61",1,4,0.1,800,0.965,0.771,0.963
"62",1,4,0.1,900,0.988,0.812,0.987
"63",1,4,0.1,1000,0.994,0.854,0.994
"64",1,4,0.25,200,0.843,0.481,0.92
"65",1,4,0.25,300,0.943,0.692,0.97
"66",1,4,0.25,400,0.989,0.856,0.991
"67",1,4,0.25,500,0.997,0.928,0.999
"68",1,4,0.25,600,0.999,0.965,0.999
"69",1,4,0.25,700,1,0.993,1
"70",1,4,0.25,800,1,0.993,1
"71",1,4,0.25,900,1,0.999,1
"72",1,4,0.25,1000,1,1,1
"73",1,5,0.1,200,0.535,0.093,0.759
"74",1,5,0.1,300,0.775,0.215,0.878
"75",1,5,0.1,400,0.907,0.414,0.939
"76",1,5,0.1,500,0.947,0.608,0.958
"77",1,5,0.1,600,0.975,0.76,0.977
"78",1,5,0.1,700,0.992,0.853,0.993
"79",1,5,0.1,800,0.992,0.904,0.992
"80",1,5,0.1,900,0.999,0.931,0.999
"81",1,5,0.1,1000,0.998,0.961,0.998
"82",1,5,0.25,200,0.927,0.6,0.97
"83",1,5,0.25,300,0.979,0.863,0.991
"84",1,5,0.25,400,0.996,0.952,0.999
"85",1,5,0.25,500,1,0.982,1
"86",1,5,0.25,600,1,0.997,1
"87",1,5,0.25,700,1,1,1
"88",1,5,0.25,800,1,1,1
"89",1,5,0.25,900,1,1,1
"90",1,5,0.25,1000,1,1,1
"91",1,6,0.1,200,0.554,0.096,0.78
"92",1,6,0.1,300,0.819,0.225,0.916
"93",1,6,0.1,400,0.946,0.444,0.971
"94",1,6,0.1,500,0.975,0.665,0.984
"95",1,6,0.1,600,0.992,0.815,0.993
"96",1,6,0.1,700,0.998,0.915,0.999
"97",1,6,0.1,800,1,0.961,1
"98",1,6,0.1,900,0.999,0.969,0.999
"99",1,6,0.1,1000,1,0.989,1
"100",1,6,0.25,200,0.969,0.658,0.99
"101",1,6,0.25,300,0.995,0.926,0.998
"102",1,6,0.25,400,1,0.982,1
"103",1,6,0.25,500,1,0.996,1
"104",1,6,0.25,600,1,0.999,1
"105",1,6,0.25,700,1,1,1
"106",1,6,0.25,800,1,1,1
"107",1,6,0.25,900,1,1,1
"108",1,6,0.25,1000,1,1,1
